tenure,Contract,InternetService,PaymentMethod,TotalCharges,MonthlyCharges,PaperlessBilling,StreamingTV,StreamingMovies,Partner,Churn
7,0,0,1,158.95,20.65,0,0,0,1,0
3,0,2,0,293.15,95.4,0,2,2,0,0
72,2,0,2,1493.75,21.0,0,0,0,1,0
19,0,1,0,1093.4,56.2,1,1,2,0,0
59,2,0,2,1057.85,18.4,0,0,0,1,0
2,0,2,2,190.05,90.0,0,1,2,1,1
35,0,0,0,882.55,25.75,1,0,0,1,0
14,0,0,2,300.4,19.6,0,0,0,0,0
14,0,2,0,1025.95,75.35,0,1,1,0,1
69,2,0,2,1436.95,19.8,0,0,0,1,0
7,0,1,0,475.0,64.2,0,1,1,1,0
69,2,1,2,5388.15,75.75,1,2,1,1,0
72,2,1,0,5730.15,78.95,1,2,2,1,0
8,0,2,0,819.55,100.85,0,2,2,0,1
4,0,1,0,217.1,50.3,0,1,1,1,0
63,0,2,2,4896.35,80.3,1,1,1,1,0
72,2,0,2,1434.1,19.85,0,0,0,0,0
46,2,0,0,937.1,21.1,1,0,0,0,0
5,0,2,0,330.15,69.95,0,1,1,1,1
30,0,1,1,1474.9,50.0,1,1,1,1,0
63,2,2,2,6536.5,104.75,1,2,2,0,0
60,2,0,2,1128.1,19.85,0,0,0,0,0
63,1,2,0,6873.75,107.5,1,2,2,1,1
25,0,2,0,2199.05,85.9,0,2,1,1,0
1,0,1,1,45.85,45.85,1,1,1,0,1
6,0,2,0,457.1,80.8,1,1,1,1,0
22,2,0,1,566.5,25.25,0,0,0,0,0
31,2,1,2,2471.6,80.55,0,2,2,1,0
39,0,2,2,3107.3,81.5,1,1,1,1,0
26,0,0,1,518.3,20.9,0,0,0,0,0
53,1,2,2,5769.75,106.1,1,2,2,1,1
1,0,2,0,91.7,91.7,0,2,1,0,1
12,0,1,0,832.3,67.25,1,1,1,0,0
16,0,2,2,1555.65,95.6,1,1,2,0,1
2,0,0,1,45.3,20.35,0,0,0,0,0
39,1,1,2,1790.6,45.05,0,2,1,0,0
1,0,2,0,74.95,74.95,1,1,1,0,1
7,0,1,1,246.6,34.65,0,1,1,1,0
4,0,2,0,261.65,69.35,0,1,1,0,0
10,0,2,0,898.35,95.35,1,2,2,0,1
55,0,2,0,4509.5,81.55,1,1,1,0,0
72,2,1,2,5480.25,75.4,1,2,2,1,0
10,0,1,2,653.15,67.8,1,2,2,1,0
11,0,2,0,1183.05,111.4,1,2,2,0,0
15,0,1,0,639.45,46.3,0,1,1,1,0
23,2,0,2,478.75,20.4,0,0,0,1,0
1,0,0,1,20.05,20.05,0,0,0,0,0
3,0,1,0,127.1,45.0,0,1,1,0,1
47,1,2,0,4391.45,96.1,1,1,2,1,0
15,1,0,1,270.6,19.65,0,0,0,0,0
66,0,2,0,6710.5,99.5,0,2,2,0,1
68,1,1,2,3975.9,60.65,1,1,1,1,0
17,1,2,2,1704.95,98.6,0,2,2,1,1
7,0,1,1,415.95,59.5,1,2,1,0,1
12,0,2,0,950.2,80.45,1,1,2,1,1
21,1,1,2,1497.05,71.7,0,1,2,1,0
21,0,1,1,780.15,36.0,1,1,1,0,0
56,1,1,2,3512.15,65.2,0,2,1,1,0
6,0,1,2,273.25,48.95,1,1,1,1,0
65,2,1,2,3517.9,53.5,1,2,2,0,0
42,1,1,2,3375.9,80.45,0,2,2,1,0
68,2,2,2,7508.55,109.05,1,2,2,1,0
48,2,0,2,1245.05,26.3,0,0,0,1,0
50,1,2,0,5347.95,106.8,1,2,2,0,0
7,0,1,0,493.65,64.95,1,2,1,0,0
63,2,0,0,1263.85,19.35,0,0,0,1,0
17,0,0,2,385.55,21.1,0,0,0,0,0
42,0,2,2,3384.0,77.95,1,2,1,1,1
4,0,0,1,84.2,18.85,0,0,0,1,0
62,2,0,2,1638.7,26.0,0,0,0,0,0
2,0,2,0,165.4,74.7,1,1,1,0,1
2,0,2,0,120.25,70.35,1,1,1,1,0
48,2,2,2,4473.45,96.9,1,2,1,1,0
27,2,0,2,520.55,19.55,0,0,0,1,0
70,2,1,2,5717.85,80.4,1,2,2,1,0
1,0,2,0,88.8,88.8,1,2,1,0,1
46,1,2,0,4312.5,94.65,1,2,1,1,0
30,0,2,0,2755.35,90.25,1,2,2,0,1
15,0,1,2,994.55,64.65,1,1,2,0,1
69,1,2,2,6511.25,95.75,0,2,1,1,0
65,2,0,2,1218.65,19.55,1,0,0,0,0
72,2,2,2,7447.7,104.1,1,2,2,1,0
13,0,2,2,1169.35,89.05,1,1,2,1,1
17,1,0,1,279.5,20.1,1,0,0,0,0
51,1,2,0,5720.35,111.55,1,2,2,1,0
51,2,1,2,3121.45,60.5,0,1,1,1,0
72,2,1,2,6468.6,90.95,1,2,2,1,0
67,1,2,0,5918.8,87.4,0,1,1,1,1
34,0,0,1,675.6,19.7,0,0,0,0,0
67,2,1,2,3521.7,50.95,1,1,2,1,0
49,1,0,2,923.1,20.05,1,0,0,1,0
53,2,0,1,1110.35,19.4,1,0,0,1,0
27,0,1,0,1611.65,59.45,0,1,1,0,0
23,0,2,0,2293.6,94.75,1,2,2,0,1
69,2,1,2,5553.25,81.5,1,1,2,0,0
2,0,1,2,44.75,29.05,0,1,1,1,0
35,0,2,0,3029.1,86.45,1,2,1,0,1
46,1,1,1,3231.05,70.6,0,1,2,1,0
54,2,2,2,5129.45,97.2,1,2,2,0,0
56,1,2,0,5508.35,98.25,1,2,2,1,1
9,0,2,2,655.9,75.75,1,1,1,1,1
20,0,1,2,1191.2,59.2,0,1,1,0,0
11,0,2,1,866.4,75.9,1,1,1,0,0
30,0,2,0,2627.2,90.05,1,2,1,1,0
68,2,1,2,4741.45,70.95,0,1,2,1,0
38,0,2,0,4009.2,102.6,1,2,2,1,0
17,0,2,2,1463.45,85.35,1,1,1,1,1
48,1,2,2,5082.8,106.1,1,2,2,0,1
1,0,1,0,43.8,43.8,0,1,1,0,0
63,2,1,0,3707.6,59.0,0,2,2,1,0
3,1,1,0,220.45,69.95,1,2,2,0,0
48,1,0,2,1133.7,24.35,0,0,0,0,0
66,1,1,2,1983.15,29.45,0,1,1,0,0
68,2,2,2,5746.75,84.4,1,1,1,1,0
17,0,1,0,770.6,45.05,1,1,1,0,1
7,1,0,1,134.05,20.65,0,0,0,1,0
72,2,1,2,6230.1,87.1,1,2,2,1,0
29,0,0,1,573.05,19.85,0,0,0,1,0
37,0,2,0,3419.3,90.35,1,1,2,1,0
34,0,2,1,3587.25,109.8,1,2,2,0,1
42,0,2,0,3541.35,84.65,1,2,1,0,1
59,1,1,1,3801.3,65.5,0,1,1,1,0
11,0,2,2,868.5,79.5,1,2,1,1,1
60,0,2,0,4859.1,80.95,1,1,1,1,0
27,0,1,1,1439.35,56.15,1,1,1,0,0
1,0,2,1,85.8,85.8,0,1,2,0,1
1,0,2,0,79.1,79.1,1,2,1,0,1
17,0,1,1,592.75,34.4,0,1,1,1,0
58,2,0,1,1185.95,20.75,0,0,0,1,0
1,1,0,1,18.8,18.8,0,0,0,1,0
3,0,1,1,134.5,44.3,0,1,1,1,1
53,0,2,0,4921.2,90.8,0,1,1,0,0
35,0,0,0,901.25,25.6,1,0,0,0,0
50,0,2,2,5341.8,105.95,0,2,2,1,1
68,2,1,2,4859.95,70.8,0,1,2,1,0
47,0,0,0,1139.2,25.4,0,0,0,1,0
65,0,2,2,7082.45,108.8,1,2,2,1,0
5,0,2,0,324.6,69.75,1,1,1,0,1
51,0,2,0,4812.75,94.65,1,2,2,1,1
46,0,2,2,4399.5,96.05,0,2,2,0,1
9,0,2,0,663.55,76.85,1,1,1,0,0
8,2,0,1,174.65,20.25,0,0,0,0,0
14,1,0,2,321.7,24.8,1,0,0,0,0
45,0,2,0,5125.5,115.65,1,2,2,0,0
8,0,2,2,548.9,74.6,1,1,1,0,0
1,0,1,1,50.15,50.15,1,1,1,0,1
66,1,2,2,7031.3,103.15,1,2,2,1,0
72,2,1,2,5016.65,72.1,0,1,1,1,0
41,0,2,2,4594.95,113.6,1,2,2,1,1
23,2,0,1,611.45,25.1,0,0,0,1,0
29,0,2,0,2384.15,78.9,1,2,1,0,1
4,0,2,0,319.85,80.15,1,1,1,0,0
6,2,0,1,153.3,25.4,0,0,0,1,0
67,1,2,2,7035.6,105.4,1,1,2,1,0
7,0,1,1,344.2,45.75,1,1,1,0,0
56,1,0,1,1431.65,24.45,1,0,0,1,0
72,2,0,2,1849.2,25.0,0,0,0,1,0
72,2,1,0,6083.1,85.25,1,2,2,1,0
23,2,0,2,426.65,19.6,0,0,0,1,0
35,0,1,1,1655.35,50.15,0,1,1,0,0
27,0,2,0,1943.9,70.55,1,1,1,1,0
26,0,1,0,1616.15,60.05,1,1,1,1,1
12,1,0,1,314.95,26.4,0,0,0,1,0
40,2,0,1,804.85,20.15,0,0,0,0,0
7,0,1,1,465.7,58.85,0,2,2,1,0
70,0,2,2,6669.05,97.55,1,2,1,1,0
60,2,0,2,1161.75,19.65,0,0,0,1,0
39,1,1,2,947.75,25.25,1,1,1,1,0
72,2,2,2,8375.05,114.45,0,2,2,1,0
1,0,1,0,34.7,34.7,1,2,1,0,1
54,1,1,0,3770.0,70.7,1,2,1,1,0
3,0,2,0,264.8,85.3,1,1,2,0,1
63,2,1,2,4707.85,75.55,0,2,1,1,0
71,2,2,0,6152.4,84.8,1,1,1,1,0
42,1,0,1,958.1,20.65,1,0,0,0,0
47,2,0,2,943.0,20.45,0,0,0,0,0
66,1,2,2,6615.15,102.45,1,2,2,1,1
21,0,2,2,2200.25,104.4,1,2,2,1,1
11,0,1,0,425.1,35.65,1,1,1,0,0
1,0,2,0,99.75,99.75,1,2,2,0,1
55,0,2,0,5044.8,90.45,0,1,1,1,0
69,2,2,2,6743.55,97.65,1,2,1,0,0
3,0,2,0,196.4,73.85,0,1,1,0,0
4,0,1,0,299.7,74.4,1,2,2,0,1
30,2,1,2,2093.9,69.1,1,2,1,0,0
5,0,2,0,417.75,82.75,1,1,1,0,0
71,2,0,2,1725.4,24.4,1,0,0,1,0
29,1,1,0,1620.2,55.25,1,1,1,0,0
52,0,1,2,3169.55,61.35,0,1,1,1,0
68,1,1,2,5233.25,76.75,0,1,2,0,0
46,2,0,1,967.85,19.4,0,0,0,1,0
8,0,1,2,438.05,54.75,1,1,2,0,0
72,2,0,2,1421.9,19.7,0,0,0,1,0
17,1,0,2,323.15,19.9,0,0,0,0,0
3,0,2,0,318.6,107.95,1,2,2,0,0
2,0,2,2,163.7,83.8,1,2,1,0,0
9,0,2,2,639.65,74.25,1,1,1,0,1
51,1,1,2,2928.5,56.4,1,2,2,0,0
6,2,0,1,100.35,20.1,0,0,0,1,0
3,0,2,0,273.2,94.9,0,2,2,1,0
17,0,2,0,1608.15,94.2,1,2,2,0,0
30,0,1,0,1441.95,49.9,0,1,1,1,0
31,0,1,0,2168.15,71.05,1,2,1,0,0
45,2,1,2,3618.7,81.65,0,2,2,0,0
64,1,2,2,5692.65,89.45,0,1,1,1,0
1,0,1,0,59.85,59.85,1,2,1,0,1
1,0,2,0,69.6,69.6,1,1,1,0,1
61,1,2,0,5969.3,99.0,0,2,2,1,0
1,0,0,1,19.05,19.05,0,0,0,0,0
9,0,1,0,418.8,45.4,1,2,2,0,1
72,2,2,2,8100.55,114.45,0,2,2,1,0
1,0,0,1,19.5,19.5,0,0,0,0,1
7,0,1,1,313.45,44.25,1,1,1,1,0
66,1,2,2,6130.95,90.55,1,1,1,1,0
1,0,2,0,69.9,69.9,1,1,1,0,1
40,0,0,2,745.3,20.4,1,0,0,1,0
16,0,1,2,1212.1,71.4,1,1,2,0,0
2,0,2,2,183.75,87.15,1,2,1,0,1
67,2,0,2,1583.5,24.85,0,0,0,1,0
41,1,2,2,4162.05,104.45,1,2,2,1,0
56,2,0,2,1119.9,19.8,1,0,0,1,0
72,2,2,2,8013.55,116.45,1,2,2,0,0
3,0,2,2,264.85,84.75,1,1,2,1,1
54,2,0,2,1102.4,20.05,0,0,0,1,0
52,0,2,0,5832.0,110.75,1,2,2,0,0
50,2,2,2,4304.5,89.7,1,1,2,0,0
14,0,2,0,1178.4,89.95,1,2,1,0,1
27,1,1,2,1421.75,48.7,0,1,1,1,0
72,2,2,2,6827.5,96.6,1,1,1,1,0
62,1,1,2,4698.05,74.3,1,2,2,0,0
12,0,1,0,654.5,54.3,1,1,1,0,0
44,1,1,2,3268.05,74.85,0,2,2,0,0
54,2,2,2,4362.05,79.95,1,1,1,1,0
68,2,0,2,1386.9,20.05,0,0,0,0,0
20,0,0,1,415.4,19.4,0,0,0,0,0
50,1,1,2,2614.1,54.9,0,1,1,1,0
58,2,0,2,1513.6,24.45,1,0,0,0,0
35,0,2,2,3161.6,89.65,1,2,1,1,0
2,0,1,0,80.95,45.4,1,1,1,0,0
63,2,1,1,4676.7,75.7,0,1,2,1,0
58,1,2,2,6526.65,110.65,1,2,2,1,0
27,1,0,1,583.3,20.55,1,0,0,1,0
71,2,2,2,8078.1,115.15,1,2,2,1,0
63,1,1,2,3503.5,58.55,0,1,2,0,0
71,0,2,2,6669.45,93.25,1,1,2,1,0
41,0,2,0,4689.5,113.2,1,2,2,0,1
13,0,2,0,1201.15,90.5,1,2,2,0,1
2,0,2,0,143.65,79.0,0,2,1,0,1
68,2,0,2,1292.65,19.35,1,0,0,1,0
1,0,1,1,48.75,48.75,1,1,1,1,0
65,2,2,0,7108.2,109.05,1,2,2,0,0
72,2,0,2,1802.55,25.0,1,0,0,1,0
28,0,1,2,1505.15,54.9,1,1,1,0,0
72,2,0,2,1859.1,24.75,0,0,0,1,0
2,0,2,0,168.5,91.15,1,2,1,0,0
18,1,0,2,390.85,20.15,0,0,0,0,1
60,1,2,0,6339.45,104.35,1,2,2,1,0
26,0,1,0,1652.4,66.05,1,1,2,0,0
1,0,2,0,71.65,71.65,1,1,1,0,1
4,0,0,1,77.5,20.35,0,0,0,0,1
68,2,1,2,6392.85,92.2,1,2,2,1,0
38,0,2,2,3264.5,84.25,1,1,1,0,1
42,1,2,2,4599.15,105.2,1,2,2,1,0
57,2,0,2,1134.25,19.6,1,0,0,1,0
54,0,1,0,1621.35,30.4,0,1,1,1,0
12,0,2,2,947.3,78.1,0,1,2,0,1
44,1,1,1,2722.2,61.5,1,1,1,1,0
42,0,1,2,3058.3,69.4,1,2,1,1,0
72,2,0,2,1769.6,24.75,0,0,0,1,0
71,2,1,1,6293.75,91.05,0,2,2,1,0
19,0,2,1,1761.05,89.65,0,1,2,1,1
23,0,1,2,1642.75,73.65,1,2,2,1,0
30,2,0,2,578.5,19.4,0,0,0,0,0
35,1,0,2,954.9,26.2,0,0,0,0,0
10,0,2,0,973.25,98.7,1,2,2,0,1
1,0,1,2,43.85,43.85,1,1,1,0,0
22,0,2,1,1490.4,69.7,1,1,1,0,0
7,2,1,1,280.0,38.55,0,1,1,1,0
36,2,1,1,1901.25,53.1,1,1,2,0,0
34,0,0,1,716.4,20.65,0,0,0,1,0
72,2,1,2,4720.0,64.45,0,1,1,1,0
36,2,0,2,930.95,25.1,0,0,0,1,0
1,0,2,0,76.35,76.35,0,1,1,0,1
23,0,2,0,1676.95,79.15,1,1,1,0,1
32,0,2,0,2642.05,85.0,1,1,2,1,1
71,1,2,2,6770.85,95.15,1,1,1,1,0
23,0,2,1,1835.3,79.35,1,1,1,0,0
17,1,2,2,1588.25,96.65,1,2,2,1,0
1,0,1,0,75.5,75.5,1,2,2,0,0
12,2,0,1,258.35,19.7,0,0,0,1,0
72,2,0,2,1502.25,20.5,0,0,0,1,0
1,0,0,1,19.2,19.2,0,0,0,0,0
72,2,2,2,6929.4,98.35,0,2,2,1,0
60,0,2,2,4453.3,74.35,0,1,1,1,0
61,2,1,2,3244.4,51.35,0,2,1,1,0
6,0,1,1,323.45,45.65,0,1,1,1,0
32,0,2,0,2661.1,85.3,0,1,2,1,1
31,0,2,2,2697.4,86.55,1,2,1,0,1
19,0,2,2,1424.5,73.85,1,1,1,0,1
72,2,0,2,1401.15,20.3,0,0,0,1,0
32,0,1,0,1739.6,54.2,1,1,1,0,0
65,0,2,0,5931.0,90.65,1,1,2,1,0
45,0,1,2,2333.85,50.9,1,2,2,1,0
42,1,0,0,949.85,25.05,0,0,0,0,0
8,0,2,0,572.45,74.85,1,1,1,0,0
32,2,0,1,696.8,20.5,0,0,0,0,0
22,0,1,1,1381.8,63.55,1,1,1,1,0
57,0,1,0,2572.95,44.85,1,2,2,1,1
1,0,1,0,47.95,47.95,0,1,1,0,0
1,0,1,0,45.1,45.1,0,1,1,0,1
1,0,1,0,45.0,45.0,1,1,1,1,0
24,0,2,0,2122.45,96.0,1,2,2,0,1
1,0,0,2,20.05,20.05,0,0,0,0,1
54,0,2,0,4931.8,90.05,1,1,2,0,0
4,2,0,2,116.95,25.3,1,0,0,0,0
65,2,2,2,6937.95,108.65,0,2,2,1,1
56,1,0,0,1261.7,24.3,0,0,0,1,0
45,0,1,0,3273.8,75.95,1,2,2,0,0
71,2,0,2,1415.85,19.7,0,0,0,1,0
59,1,1,2,3958.2,66.4,0,2,1,1,0
69,1,1,2,2492.25,35.75,1,1,1,0,0
19,1,0,1,279.2,18.8,0,0,0,0,0
55,2,0,2,1083.0,19.4,0,0,0,1,0
38,1,0,1,755.5,19.3,0,0,0,0,0
10,0,1,0,402.6,45.55,1,1,1,0,1
47,0,1,2,3252.0,67.45,1,1,1,1,0
2,0,1,0,68.75,35.1,1,1,2,1,1
1,0,1,2,46.2,46.2,0,1,1,0,1
1,0,1,0,45.15,45.15,0,1,1,0,1
1,0,1,0,43.3,43.3,1,1,2,0,1
46,2,0,1,936.85,20.1,1,0,0,1,0
38,0,1,2,2250.65,57.15,1,1,1,0,1
65,2,1,2,3857.1,58.9,0,1,1,1,0
19,0,2,0,1441.1,73.2,1,1,1,1,1
52,0,2,0,4338.6,85.35,1,1,2,0,1
71,2,0,1,1378.45,19.45,0,0,0,1,0
1,0,1,1,45.95,45.95,0,1,1,0,1
52,0,1,0,2566.3,50.5,1,2,1,0,0
6,1,0,1,171.0,25.1,0,0,0,1,0
26,1,1,1,1597.4,60.7,0,1,2,1,0
48,1,2,0,4744.35,99.0,1,2,2,0,0
64,1,2,2,6721.6,104.4,1,2,2,1,0
3,0,2,0,247.25,83.75,0,2,1,0,1
1,0,1,2,44.05,44.05,1,1,1,0,0
72,2,0,2,1734.65,24.1,0,0,0,1,0
1,0,1,1,45.55,45.55,1,1,1,0,0
51,0,2,0,4539.35,93.8,1,1,2,1,0
41,2,0,2,804.25,19.7,0,0,0,1,0
72,2,1,2,5011.15,70.65,1,2,1,1,0
43,2,1,2,3574.5,86.45,0,2,2,1,0
72,2,2,2,8086.4,114.1,1,2,2,1,0
47,1,2,2,4563.0,95.2,1,2,2,1,0
72,2,1,2,6362.35,88.55,0,2,2,0,0
3,0,0,2,67.1,20.75,1,0,0,0,0
1,0,2,0,70.05,70.05,1,1,1,0,1
2,0,2,0,165.45,86.0,1,1,2,0,1
26,0,1,2,1156.55,44.65,1,1,2,0,0
29,0,1,1,1834.15,60.2,1,1,2,1,0
35,0,2,2,3653.35,100.5,1,2,1,1,1
27,1,1,2,1477.65,55.45,0,1,1,0,0
24,0,1,2,1706.45,70.3,1,1,2,1,0
67,2,1,2,3953.7,60.4,1,1,1,1,0
16,0,2,0,1194.3,72.65,0,1,1,0,1
23,1,1,2,1327.85,55.8,0,1,1,0,0
14,0,1,1,419.7,31.1,1,1,1,0,0
1,0,0,0,21.0,21.0,1,0,0,1,1
1,0,1,1,45.1,45.1,0,1,1,0,1
4,0,1,2,207.35,50.95,1,2,2,0,0
16,0,1,0,1083.7,69.1,1,1,2,0,0
46,0,1,0,2007.85,43.95,1,2,2,1,0
68,2,1,2,5882.75,86.5,1,2,2,0,0
38,0,1,0,2657.55,69.95,0,1,1,0,0
30,0,1,2,1527.5,50.4,1,1,1,1,1
5,0,2,0,378.4,78.95,0,1,2,0,1
17,0,2,2,1612.2,90.95,1,1,2,0,0
4,2,0,1,76.65,19.9,0,0,0,1,0
12,1,0,0,260.7,20.15,0,0,0,0,0
72,2,1,2,6441.85,90.6,1,2,2,1,0
3,0,2,0,266.8,92.0,1,2,2,0,0
56,0,2,0,5124.6,94.45,1,1,2,0,1
41,1,0,1,962.25,24.85,1,0,0,0,0
40,1,1,2,1382.9,36.0,0,1,1,0,0
7,0,1,0,571.05,78.5,1,2,2,0,0
69,2,0,2,1399.35,19.95,0,0,0,0,0
7,1,0,1,150.0,20.65,0,0,0,1,0
5,0,1,0,167.2,30.5,1,1,1,1,0
72,2,2,2,7657.4,106.1,0,2,1,1,0
44,1,0,2,865.05,20.5,1,0,0,1,0
65,1,2,0,6153.85,95.5,1,2,1,0,0
3,0,1,0,174.2,64.6,0,2,1,0,0
24,0,1,2,1269.6,51.1,1,1,1,0,0
44,0,2,2,3862.55,84.8,1,1,1,0,1
72,2,1,2,6352.4,89.1,0,2,2,1,0
24,0,1,0,1348.5,54.95,0,1,1,0,0
1,0,1,1,50.9,50.9,0,1,1,0,1
22,0,0,2,471.55,20.45,1,0,0,1,0
70,2,1,2,5931.75,85.95,1,2,2,1,0
25,0,1,0,1404.65,60.35,0,2,1,1,0
37,2,0,2,726.1,19.8,0,0,0,1,0
22,0,2,2,1961.6,85.35,0,2,1,1,0
59,2,1,2,4194.85,72.1,1,2,1,1,0
49,0,2,0,4872.45,99.8,1,2,2,1,1
47,0,2,2,5118.95,107.35,1,2,2,1,1
31,0,0,1,658.95,19.55,1,0,0,1,1
1,0,2,0,81.05,81.05,1,1,2,1,0
3,0,0,0,76.95,20.5,1,0,0,0,0
53,1,2,2,5809.75,111.8,1,2,2,1,0
1,0,0,1,20.2,20.2,0,0,0,0,0
20,1,0,1,415.9,19.7,1,0,0,0,0
3,0,2,0,246.5,79.1,1,1,1,0,1
51,1,0,2,996.95,19.85,1,0,0,0,0
51,1,1,2,3145.15,60.5,1,1,1,1,0
13,2,0,1,265.3,19.55,0,0,0,1,0
1,0,0,1,20.9,20.9,0,0,0,0,0
1,0,0,1,21.05,21.05,1,0,0,0,0
63,1,1,0,4576.3,71.5,0,1,1,0,0
3,0,1,1,189.1,54.65,0,1,2,0,0
46,2,0,2,908.15,19.2,0,0,0,0,0
1,0,1,2,49.8,49.8,1,1,1,0,0
8,0,1,1,215.2,25.5,0,1,1,0,1
71,2,0,2,1500.95,20.5,0,0,0,1,0
55,0,2,2,5099.15,90.4,1,2,1,1,0
70,1,2,2,6385.95,90.25,1,1,1,0,0
2,0,2,0,159.45,80.75,0,1,2,0,1
67,2,2,2,6885.75,104.6,0,2,2,1,0
65,0,2,2,5940.85,91.85,1,2,1,1,1
14,0,1,2,668.85,50.2,0,1,1,1,0
20,0,2,2,1916.2,95.5,1,1,2,1,0
1,0,2,0,75.35,75.35,1,1,1,0,1
1,0,2,0,75.45,75.45,1,1,1,0,1
49,0,2,2,4613.95,95.4,1,2,2,1,0
72,2,2,2,7261.25,101.3,1,2,1,0,0
46,0,1,0,2459.8,53.1,0,1,1,1,0
24,0,2,2,2048.8,84.85,1,1,1,0,0
5,0,1,0,163.55,34.25,0,1,1,1,0
33,0,2,2,2888.7,88.6,0,1,1,1,0
42,1,1,2,2421.6,60.15,1,1,1,0,0
23,1,2,2,2292.75,99.95,1,2,2,0,0
8,0,2,2,553.4,70.7,0,1,1,0,0
66,1,1,1,3465.7,54.8,1,1,1,0,0
24,0,1,2,1210.4,49.55,1,1,1,0,1
24,0,1,2,1291.3,54.8,0,1,1,0,0
69,1,1,2,5356.45,78.6,1,1,2,0,1
53,1,2,1,5200.8,100.3,1,2,2,0,0
60,2,1,0,3237.05,53.6,0,2,2,0,0
7,0,2,0,576.65,81.1,1,2,1,1,1
20,1,0,2,433.75,19.35,1,0,0,0,0
23,0,2,0,1868.4,85.6,0,1,2,1,0
72,2,1,0,5728.55,80.8,1,2,2,1,0
11,0,2,0,825.7,74.95,1,1,1,1,1
21,2,0,1,390.4,19.6,0,0,0,0,0
1,0,2,0,93.55,93.55,1,2,2,0,1
31,0,2,0,2845.15,90.7,1,2,1,0,0
57,2,1,1,3894.4,69.75,0,2,1,0,0
45,2,0,2,886.4,20.0,1,0,0,1,0
10,0,2,0,1021.55,95.25,1,1,2,0,0
58,0,2,2,5885.4,102.1,1,2,2,1,1
14,0,0,1,268.4,19.95,0,0,0,0,0
27,1,1,1,2204.35,80.85,0,2,2,1,0
14,0,2,2,1259.0,90.9,1,1,2,1,1
12,0,1,1,309.1,29.2,0,1,1,1,1
69,2,2,2,6398.05,93.3,1,1,2,1,0
25,0,2,2,2257.75,89.15,1,2,1,1,1
58,1,2,0,6287.25,108.85,1,2,2,1,1
35,2,1,2,1662.05,46.35,1,2,1,1,0
16,0,2,0,1350.15,84.75,1,2,1,0,1
45,1,1,2,3600.65,78.75,0,2,2,1,0
17,0,2,0,1329.15,83.55,1,2,1,0,0
1,0,1,0,45.7,45.7,1,1,1,1,1
22,1,0,1,422.5,19.6,0,0,0,0,0
1,0,2,0,69.95,69.95,1,1,1,0,1
67,2,1,1,4627.65,67.85,0,1,2,1,0
67,2,2,2,6717.9,105.65,1,2,2,1,0
2,0,1,0,97.1,44.6,0,2,2,1,1
23,0,2,0,1710.45,74.95,1,1,1,0,1
9,0,2,2,637.4,75.5,0,1,1,0,0
5,0,0,1,117.95,20.15,0,0,0,0,0
54,2,1,2,2460.55,45.2,0,2,1,0,0
57,2,2,0,5464.65,95.25,1,2,2,0,1
24,0,2,1,2165.05,89.85,1,2,1,0,1
49,1,2,1,4941.8,100.45,0,2,2,1,1
5,0,1,0,223.15,47.15,0,1,1,0,1
2,0,2,0,181.1,80.2,1,1,2,0,1
4,0,2,1,341.45,87.1,1,1,1,0,1
70,2,1,2,5731.85,79.25,1,2,1,1,0
5,0,2,2,357.75,75.9,1,1,1,0,1
53,0,1,0,4616.1,85.7,0,2,2,1,0
47,0,2,0,4533.7,98.75,1,2,1,1,1
31,1,0,2,589.25,20.1,0,0,0,0,0
13,0,1,2,750.1,61.8,0,1,1,1,0
28,0,1,1,1410.25,49.9,0,1,1,1,0
10,0,2,0,830.85,86.45,0,1,2,0,1
38,2,0,2,743.5,20.4,0,0,0,1,0
1,0,1,1,45.3,45.3,1,1,1,0,1
67,1,2,0,7040.85,104.1,0,2,2,1,1
52,1,1,1,3865.45,75.4,1,2,2,1,0
62,2,2,1,6825.65,108.15,0,2,2,1,0
16,0,2,0,1340.1,86.25,1,1,2,0,0
5,0,2,0,371.65,81.0,1,1,1,1,1
12,1,2,0,1184.0,95.7,0,2,2,0,0
72,2,2,2,8477.7,116.85,1,2,2,1,0
71,1,2,2,7382.85,105.75,0,2,2,0,0
24,1,0,1,456.85,20.15,0,0,0,1,0
15,2,0,1,331.6,19.6,0,0,0,0,0
67,1,2,2,6056.15,90.6,1,1,2,1,1
2,0,1,2,134.6,60.95,0,1,1,0,0
5,0,1,1,125.5,25.05,0,1,1,1,0
15,0,2,0,1390.6,88.15,0,2,2,1,1
1,0,0,1,20.2,20.2,1,0,0,0,1
41,1,1,2,2511.3,60.3,1,1,1,1,0
43,0,1,0,2737.05,63.95,1,1,2,0,0
1,0,2,0,74.3,74.3,0,1,1,1,0
1,0,2,1,70.6,70.6,1,1,1,0,0
26,0,2,0,2361.8,90.8,1,2,2,1,1
22,0,2,0,1730.35,79.35,1,1,1,0,1
71,2,1,2,6404.0,90.55,0,2,2,1,0
7,2,0,1,165.35,19.45,0,0,0,0,0
28,0,1,2,1867.6,64.45,0,1,1,0,0
16,0,2,0,1043.3,69.65,0,1,1,0,0
7,1,0,1,128.6,19.5,0,0,0,0,0
69,2,2,2,7455.45,110.5,1,2,2,0,0
1,0,1,1,24.7,24.7,0,1,1,0,0
3,0,1,0,206.15,77.4,1,2,2,0,0
21,0,2,2,2030.3,96.8,1,2,2,0,1
